param,cf,std_err,t_val,p_val,species,source,posneg,psignif
vesselname22,-1.5677063655446,1.45336705562657,-1.0786720116404,0.281059500824676,Blue,Observer,negative,No
vesselname23,-1.05899021114826,1.582909108271,-0.669015173148503,0.503679054452834,Blue,Observer,negative,No
vesselname24,-1.20115445568732,1.53305119037726,-0.783505771514211,0.433562355089467,Blue,Observer,negative,No
vesselname25,-0.806819586524821,1.68207385581816,-0.479657646264519,0.631602118120224,Blue,Observer,negative,No
vesselname26,-0.325400475076491,1.918767937626,-0.169588238731514,0.86537690050905,Blue,Observer,negative,No
vesselname27,-0.854511446161951,1.65766298104327,-0.515491662620198,0.606352093868599,Blue,Observer,negative,No
vesselname28,-2.02146818680247,1.39732473397075,-1.44667029621533,0.148381474520591,Blue,Observer,negative,No
vesselname29,1.5639435400461,0.536408179927453,2.91558480755759,0.00364953701807006,Blue,Observer,positive,Yes
vesselname1,-0.120127644059701,0.803335324161227,-0.149536115799623,0.88116837747017,Silky,Observer,negative,No
vesselname2,-0.212710711802346,0.6976932765662,-0.304877112832782,0.760539202684642,Silky,Observer,negative,No
vesselname3,-0.193109429048319,0.761601549168565,-0.253557032885681,0.79990307122495,Silky,Observer,negative,No
vesselname4,0.405386774409915,0.687501864254677,0.589651891125264,0.555590874269162,Silky,Observer,positive,No
vesselname5,-0.219360686358965,0.796237149919216,-0.275496673800287,0.78300596410675,Silky,Observer,negative,No
vesselname6,-0.304517725899902,0.754957337182839,-0.403357528832324,0.686793220779259,Silky,Observer,negative,No
vesselname7,0.0993394312699233,0.744139946371235,0.133495630431275,0.893835059485736,Silky,Observer,positive,No
vesselname8,-0.0858120520682399,0.430345920792508,-0.199402499064501,0.841998676438927,Silky,Observer,negative,No
vesselname9,0.793256452679627,0.37615232538525,2.10887026118258,0.0352666493950085,Silky,Observer,positive,Yes
vesselname10,-0.13016595801159,0.426145355566499,-0.305449669487899,0.760103312972555,Silky,Observer,negative,No
vesselname11,1.1520433943305,0.396760836921553,2.9036217467156,0.00379044942237839,Silky,Observer,positive,Yes
vesselname12,-0.613536799590542,0.422691447768538,-1.45150038598961,0.147033375722507,Silky,Observer,negative,No
vesselname13,-0.268971642810228,0.553122281985306,-0.486278805917592,0.62690294488948906,Silky,Observer,negative,No
vesselname14,0.00405447069443997,0.817720074949169,0.00495826239155497,0.996045133766142,Silky,Observer,positive,No
vesselname15,0.151825466837358,0.782496730362577,0.194026966434745,0.846204120636086,Silky,Observer,positive,No
vesselname16,0.0455202351124175,0.831093461480717,0.0547714995029758,0.95633420855705,Silky,Observer,positive,No
vesselname17,0.0187441281148788,0.784305250788652,0.0238990215812412,0.980939126298905,Silky,Observer,positive,No
vesselname18,-0.152710210460236,0.775573676087652,-0.196899682349427,0.843956152708413,Silky,Observer,negative,No
vesselname19,0.0206756695070846,0.821166515470833,0.0251784128036806,0.97991894703188,Silky,Observer,positive,No
vesselname20,0.488631985612996,0.761772320233251,0.641440982606691,0.521420304385153,Silky,Observer,positive,No
vesselname21,-0.203922088324596,0.766909931943481,-0.265900961548148,0.790384130817067,Silky,Observer,negative,No
vesselname22,-0.723040110562834,0.637128015321143,-1.13484275243867,0.256781788308057,Silky,Observer,negative,No
vesselname23,1.29498455605049,0.625998727320549,2.06866963067703,0.0388984812913695,Silky,Observer,positive,Yes
vesselname24,-0.0203848511330046,0.811697522495214,-0.0251138516110536,0.979970426984532,Silky,Observer,negative,No
vesselname25,0.0204628392338119,0.821784413762766,0.0249004956666398,0.98014055383275,Silky,Observer,positive,No
vesselname26,-0.145760485833183,0.780789513534572,-0.186683457329411,0.851956251278263,Silky,Observer,negative,No
vesselname27,-0.142210294897577,0.781265276766119,-0.18202561809252,0.855608825151664,Silky,Observer,negative,No
vesselname28,0.297016430558563,0.716299710591706,0.414653846939586,0.678506708859664,Silky,Observer,positive,No
vesselname29,0.151980234917927,0.720994974038762,0.210792363872645,0.833103083449252,Silky,Observer,positive,No
